,NAME,RA_XFIT,DEC_XFIT,M500,R500,RA_OPT,DEC_OPT,RA_BCG,DEC_BCG,REFMAG_BCG,BEST_Z,BEST_Z_ERR,BEST_Z_TYPE,IN_ZVLIM,LAMBDA_NORM,BCG_offset,BCG_offset_kpc,BCG_offset_R500,X_scaled_0,X_scaled_1,cluster,rho_m,rho_s,sigma0_m,sigma0_s,sigma1_m,sigma1_s,logM500
0,1eRASS J000005.2-383729,0.0214,-38.625,36.07,971.0,0.0238000005483627,-38.62678146362305,0.0238000005483627,-38.62678146362305,16.677000045776367,0.3152799904346466,0.00793999992311,photo_z,True,40.02000045776367,9.314128518658126,43.47914534950727,0.0447776986091732,-0.08162287773838141,0.7784350536460336,6,0.7505815925277928,0.027507755222445602,0.10018344079947572,0.007994632863053127,0.6689590904273843,0.04083931885514599,14.557146142318363
1,1eRASS J000021.4-824954,0.0558,-82.8189,16.99,819.0,0.1767999976873397,-82.79820251464844,0.1767999976873397,-82.79820251464844,13.944000244140623,0.089089997112751,0.0001500000071246,cg_spec_z,True,20.15999984741211,92.33140443711746,155.27141174854015,0.1895865833315508,-1.230286065620638,-0.42501893323973367,7,0.7265304836125243,0.02611425290388885,0.06289862585234833,0.0050564236365551515,0.6062230922590589,0.03148067532948159,14.230193378869046
2,1eRASS J000031.8-630131,0.1265,-63.0225,22.04,846.0,0.1254000067710876,-63.0230712890625,0.1254000067710876,-63.0230712890625,16.000999450683594,0.2448000013828277,0.0057999999262392,photo_z,True,31.959999084472656,2.7252540904533324,10.620217126691635,0.0125534481402974,-0.43954219908942005,-0.04632911391875655,9,0.8093121955854173,0.024625185027192215,0.08908860410575693,0.006956838319772576,0.57824491815171,0.03885576123507787,14.343211590179747
3,1eRASS J000056.7-682010,0.2309,-68.3369,14.25,732.0,0.230100005865097,-68.33677673339844,0.176499992609024,-68.37287139892578,16.260000228881836,0.241469994187355,0.0073000001721084,photo_z,True,10.869999885559082,148.28109109231573,571.9785853477874,0.7813915100379609,-0.45645301209509975,-0.6572301795859273,26,0.7792783764805501,0.02652533889626511,0.10351883776044339,0.008066173935009684,0.6208296638561993,0.038000147110904686,14.153814864344529
4,1eRASS J000104.0-464435,0.2768,-46.7381,23.84,891.0,0.2840000092983246,-46.73466110229492,0.2840000092983246,-46.73466110229492,15.765999794006348,0.1719900071620941,0.0041999998502433,photo_z,True,38.310001373291016,21.6529869901488,64.07896882873543,0.0719180346001519,-0.8092940119039466,0.07592664513514097,22,0.7796185827403148,0.029719068418133387,0.058439167384181694,0.00557671295981618,0.5145258786010649,0.03759685383167444,14.377306251068198
5,1eRASS J000105.4-380934,0.2729,-38.1573,16.5,751.0,0.2732000052928924,-38.1622200012207,0.1944999992847442,-38.13711929321289,16.920000076293945,0.3040300011634826,0.0078499997034668,photo_z,True,26.18000030517578,233.54826726972453,1063.366810260287,1.4159345010123658,-0.13875382482438364,-0.4649985414745536,13,0.7672176642057348,0.02676623294413791,0.1385893625939693,0.011099567934706038,0.7562111028086147,0.0472271081186875,14.217483944213907
6,1eRASS J000107.5-484301,0.2861,-48.712,29.5,905.0,0.3041999936103821,-48.72172927856445,0.3041999936103821,-48.72172927856445,16.3700008392334,0.3246699869632721,0.0074300002306699,photo_z,True,50.060001373291016,55.4612543869269,264.09848343302605,0.2918215286552774,-0.03393755272303212,0.42559187039141577,6,0.7505815925277928,0.027507755222445602,0.10018344079947572,0.007994632863053127,0.6689590904273843,0.04083931885514599,14.469822015978163
7,1eRASS J000130.9-455732,0.3835,-45.9575,7.76,610.0,0.3754999935626983,-45.95684814453125,0.301499992609024,-45.98780059814453,15.559000015258787,0.1846300065517425,0.0046000001020729,photo_z,True,20.0,232.36210378048523,728.1142309147201,1.193629886745443,-0.7451041607946586,-1.311989369946612,17,0.6896488034462321,0.030979097069884092,0.13050581323219265,0.012111989256484105,0.7948426512037051,0.045868388470510744,13.889861721258189
8,1eRASS J000137.0-625826,0.4069,-62.9756,12.63,706.0,0.4106999933719635,-62.97468185424805,0.4106999933719635,-62.97468185424805,15.880000114440918,0.230100005865097,0.0057399999350309,photo_z,True,20.950000762939453,7.047172386463037,26.21551916621838,0.0371324634082413,-0.514193351712346,-0.8053676270442752,26,0.7792783764805501,0.02652533889626511,0.10351883776044339,0.008066173935009684,0.6208296638561993,0.038000147110904686,14.10140335055533
9,1eRASS J000154.0-365735,0.477,-36.9583,14.32,708.0,0.4702000021934509,-36.95690155029297,0.4702000021934509,-36.95690155029297,16.643999099731445,0.3354400098323822,0.0092099998146295,photo_z,True,20.540000915527344,20.19976863587575,98.31206802190393,0.1388588531382824,0.020755975583462042,-0.6510222063339675,13,0.7672176642057348,0.02676623294413791,0.1385893625939693,0.011099567934706038,0.7562111028086147,0.0472271081186875,14.155943017971836
